condition_id,dataset,task,layout_id,data_size,primary_metric,primary_value,secondary_metric,secondary_value
6a,f3,lithology facies classification,layout_001,small,mean_iou_unique_validation_voxels,0.34880821666034967,macro_f1_unique_validation_voxels,0.47013214160852157
6a,f3,lithology facies classification,layout_001,medium,mean_iou_unique_validation_voxels,0.40673736831407853,macro_f1_unique_validation_voxels,0.54741553446634528
6a,f3,lithology facies classification,layout_001,large,mean_iou_unique_validation_voxels,0.59225266962858791,macro_f1_unique_validation_voxels,0.71689937689731831
6a,f3,lithology facies classification,layout_002,small,mean_iou_unique_validation_voxels,0.4273535614789617,macro_f1_unique_validation_voxels,0.56021841628119284
6a,f3,lithology facies classification,layout_002,medium,mean_iou_unique_validation_voxels,0.46084252142163035,macro_f1_unique_validation_voxels,0.599028426038823
6a,f3,lithology facies classification,layout_002,large,mean_iou_unique_validation_voxels,0.55537568967059503,macro_f1_unique_validation_voxels,0.68392007208112471
6a,f3,lithology facies classification,layout_003,small,mean_iou_unique_validation_voxels,0.49023843118749905,macro_f1_unique_validation_voxels,0.61565173655368333
6a,f3,lithology facies classification,layout_003,medium,mean_iou_unique_validation_voxels,0.54806770265307481,macro_f1_unique_validation_voxels,0.67586748761657844
6a,f3,lithology facies classification,layout_003,large,mean_iou_unique_validation_voxels,0.56825973576490685,macro_f1_unique_validation_voxels,0.69918002716008232
6a,f3,lithology facies classification,layout_004,small,mean_iou_unique_validation_voxels,0.37090970178164562,macro_f1_unique_validation_voxels,0.48824221591724859
6a,f3,lithology facies classification,layout_004,medium,mean_iou_unique_validation_voxels,0.4367357554560598,macro_f1_unique_validation_voxels,0.55614746771556145
6a,f3,lithology facies classification,layout_004,large,mean_iou_unique_validation_voxels,0.4704454974881061,macro_f1_unique_validation_voxels,0.61007499896273765
6b,f3,lithology facies classification,layout_000,small,mean_iou_unique_validation_voxels,0.38639594555320084,macro_f1_unique_validation_voxels,0.50676886692779821
6b,f3,lithology facies classification,layout_000,medium,mean_iou_unique_validation_voxels,0.45063107162344612,macro_f1_unique_validation_voxels,0.58393778968284149
6b,f3,lithology facies classification,layout_000,large,mean_iou_unique_validation_voxels,0.53182027677438448,macro_f1_unique_validation_voxels,0.67533723935726708
6b,f3,lithology facies classification,layout_001,small,mean_iou_unique_validation_voxels,0.34901600992195697,macro_f1_unique_validation_voxels,0.47845820099741737
6b,f3,lithology facies classification,layout_001,medium,mean_iou_unique_validation_voxels,0.42645577853235822,macro_f1_unique_validation_voxels,0.55266160841026812
6b,f3,lithology facies classification,layout_001,large,mean_iou_unique_validation_voxels,0.58770934479607273,macro_f1_unique_validation_voxels,0.71898761315937632
6b,f3,lithology facies classification,layout_002,small,mean_iou_unique_validation_voxels,0.41031135224134457,macro_f1_unique_validation_voxels,0.55112716191783362
6b,f3,lithology facies classification,layout_002,medium,mean_iou_unique_validation_voxels,0.46421793762313529,macro_f1_unique_validation_voxels,0.59683860828366198
6b,f3,lithology facies classification,layout_002,large,mean_iou_unique_validation_voxels,0.55028469673080493,macro_f1_unique_validation_voxels,0.67565535454577563
6b,f3,lithology facies classification,layout_003,small,mean_iou_unique_validation_voxels,0.49162827155129846,macro_f1_unique_validation_voxels,0.62263671504483009
6b,f3,lithology facies classification,layout_003,medium,mean_iou_unique_validation_voxels,0.52901939510559803,macro_f1_unique_validation_voxels,0.66364426176975111
6b,f3,lithology facies classification,layout_003,large,mean_iou_unique_validation_voxels,0.55553822169501832,macro_f1_unique_validation_voxels,0.69518278162757186
6b,f3,lithology facies classification,layout_004,small,mean_iou_unique_validation_voxels,0.35936206852669567,macro_f1_unique_validation_voxels,0.47944765227739539
6b,f3,lithology facies classification,layout_004,medium,mean_iou_unique_validation_voxels,0.42272846266711667,macro_f1_unique_validation_voxels,0.53857575218262599
6b,f3,lithology facies classification,layout_004,large,mean_iou_unique_validation_voxels,0.47307736474152651,macro_f1_unique_validation_voxels,0.61184357788143684
1,parihaka,channel facies classification,layout_000,small,test_channel_iou,0.13132751162632789,test_channel_f1,0.23216532838937048
1,parihaka,channel facies classification,layout_000,medium,test_channel_iou,0.29779614690717776,test_channel_f1,0.45892592240602026
1,parihaka,channel facies classification,layout_000,large,test_channel_iou,0.43529781411411506,test_channel_f1,0.60656096572234619
1,parihaka,channel facies classification,layout_001,small,test_channel_iou,0.33717900604715717,test_channel_f1,0.50431393930404878
1,parihaka,channel facies classification,layout_001,medium,test_channel_iou,0.40041143977919846,test_channel_f1,0.57184828459032144
1,parihaka,channel facies classification,layout_001,large,test_channel_iou,0.45419264872464704,test_channel_f1,0.6246664073332816
1,parihaka,channel facies classification,layout_002,small,test_channel_iou,0.26649138583875631,test_channel_f1,0.42083410723282211
1,parihaka,channel facies classification,layout_002,medium,test_channel_iou,0.31260156114073834,test_channel_f1,0.47630837932124159
1,parihaka,channel facies classification,layout_002,large,test_channel_iou,0.45397753447475281,test_channel_f1,0.62446292836120265
1,parihaka,channel facies classification,layout_003,small,test_channel_iou,0.18054741944218236,test_channel_f1,0.3058706773972576
1,parihaka,channel facies classification,layout_003,medium,test_channel_iou,0.3391911214059507,test_channel_f1,0.50656118605363909
1,parihaka,channel facies classification,layout_003,large,test_channel_iou,0.46241795637383909,test_channel_f1,0.63240191267951151
1,parihaka,channel facies classification,layout_004,small,test_channel_iou,0.26416535270733699,test_channel_f1,0.41792848086146384
1,parihaka,channel facies classification,layout_004,medium,test_channel_iou,0.35161355163825114,test_channel_f1,0.52028710604753947
1,parihaka,channel facies classification,layout_004,large,test_channel_iou,0.47001364541434848,test_channel_f1,0.63946841157636614
2a,parihaka,channel facies classification,layout_000,small,test_channel_iou,0.17857291308884946,test_channel_f1,0.30303244051458583
2a,parihaka,channel facies classification,layout_000,medium,test_channel_iou,0.33969854027846547,test_channel_f1,0.50712683497864652
2a,parihaka,channel facies classification,layout_000,large,test_channel_iou,0.40287971198709721,test_channel_f1,0.57436102118326537
2a,parihaka,channel facies classification,layout_001,small,test_channel_iou,0.35973104147785795,test_channel_f1,0.52912087832734211
2a,parihaka,channel facies classification,layout_001,medium,test_channel_iou,0.43029696373712878,test_channel_f1,0.60168898438102558
